property_tax_id,id,2018.total,2019.total,2022.total,2017.total,2021.total,2013.total,2014.total,2015.total,2016.total,2020.total,2023.total
263,"10122-Cassandra-Dr,-Austin,-TX-78717",,7458.0,13068.0,,,,,,,,
264,"6263-Mcneil-Dr,-Austin,-TX-78729",,,,,,,,,,,
265,"8112-Siringo-Pass,-Austin,-TX-78749",,,11412.0,,9417.0,,,,,7852.0,
266,"8000-Decker-Ln,-Austin,-TX-78724",,,,,,,,,,,
267,"7920-San-Felipe-Blvd,-Austin,-TX-78729",,,,,,,,,,,
268,"909-Great-Britain-Blvd,-Austin,-TX-78748",,,8459.0,,6430.0,,,,,,
269,"1810-Adina-St,-Unit-B,-Austin,-TX-78721",,,,,,,,,,,
270,"500-E-Riverside-Dr,-Apt-254,-Austin,-TX-78704",,,5550.0,,4989.0,,,,,,
271,"6503-Bluff-Springs-Rd,-Austin,-TX-78744",,,,,,,,,,,
272,"8312-Fathom-Cir,-Austin,-TX-78750",,,,,,,,,,,
273,"2320-Gracy-Farms-Ln,-Apt-233,-Austin,-TX-78758",,2210.0,2576.0,,2703.0,,,,,,
274,"14100-Avery-Ranch-Blvd,-Unit-701,-Austin,-TX-78717",,,9803.0,,,,,,,1110.0,
275,"7224-Northeast-Dr,-Austin,-TX-78723",,,,,,,,,,,
276,"1624-E-6th-St,-Unit-233,-Austin,-TX-78702",,,,,,,,,,,
277,"313-Brazos-St,-Unit-236,-Austin,-TX-78701",,,,,,,,,,,
278,"8001-S-Ih,---35,-Austin,-TX-78744",,,,,,,,,,,
279,"2505-Longview-St,-Austin,-TX-78705",,,,,,,,,,,
280,"10926-Jollyville-Rd,-Austin,-TX-78759",,,,,,,,,,,
281,"301-West-Ave,-Apt-3502,-Austin,-TX-78701",,,,,,,,,,,
282,"1781-Spyglass-Dr,-Austin,-TX-78746",,,,,,,,,,,
283,"12345-Lamplight-Village-Ave,-Austin,-TX-78758",,,,,,,,,,,
284,"9501-N-Fm-620-Rd,-Austin,-TX-78726",,,,,,,,,,,
285,"500-E-Anderson-Ln,-Austin,-TX-78752",,,,,,,,,,,
286,"7610-Cameron-Rd,-Austin,-TX-78752",,,,,,,,,,,
287,"9617-Great-Hills-Trl,-Austin,-TX-78759",,,,,,,,,,,
288,"2403-Gateshead-Cir,-Austin,-TX-78745",,,13131.0,,,,,,,,
289,"625-E-Stassney-Ln,-Austin,-TX-78745",,,,,,,,,,,
290,"2302-E-William-Cannon-Dr,-Austin,-TX-78744",,,,,,,,,,,
291,"3621-W-Slaughter-Ln,-Austin,-TX-78749",,,,,,,,,,,
292,"1200-Treadwell-St,-Austin,-TX-78704",,,,,,,,,,,
293,"4525-Guadalupe-St,-Austin,-TX-78751",,,,,,,,,,,
294,"8805-N-Plaza-Dr,-Austin,-TX-78753",,,,,,,,,,,
295,"111-Sandra-Muraida-Way,-Austin,-TX-78703",,,,,,,,,,,
296,"600-E-53rd-St,-Austin,-TX-78751",,,,,,,,,,,
297,"1624-E-6th-St,-Unit-12,-Austin,-TX-78702",,,,,,,,,,,
298,"2201-Montopolis-Dr,-Austin,-TX-78741",,,,,,,,,,,
299,"1300-Pleasant-Valley-Rd-S,-Austin,-TX-78741",,,,,,,,,,,
300,"2800-Bartons-Bluff-Ln,-Austin,-TX-78746",,,,,,,,,,,
301,"1401-Enfield-Rd,-Austin,-TX-78703",,,,,,,,,,,
302,"4017-Victory-Dr,-Austin,-TX-78704",,,,,,,,,,,
303,"8912-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,
304,"10600-Jollyville-Rd,-Austin,-TX-78759",,,,,,,,,,,
305,"2201-Willow-Creek-Dr,-Austin,-TX-78741",,,,,,,,,,,
306,"4511-Dudmar-Dr,-Austin,-TX-78735",,,13129.0,4555.0,,,,,,,
307,"1600-Barton-Springs-Rd,-Unit-2404,-Austin,-TX-78704",,8439.0,10211.0,,,,,,,,
308,"6908-Colorado-Bluffs-Rd,-Austin,-TX-78744",,,11495.0,,7339.0,,,,,6555.0,
309,"460-Bastrop-Hwy-S,-Austin,-TX-78741",,,,,,,,,,,
310,"1500-Scenic-Dr,-Apt-106,-Austin,-TX-78703",,,23324.0,,,,,,,,
311,"7000-E-Ben-White-Blvd,-Austin,-TX-78741",,,,,,,,,,,
312,"3406-Barranca-Cir,-Austin,-TX-78731",,,25570.0,,25648.0,,,,,,
313,"1003-Justin-Ln,-Austin,-TX-78757",,,,,,,,,,,
314,"300-West-Ave,-Austin,-TX-78701",,,,,,,,,,,
315,"2016-Park-Bend-Dr,-Austin,-TX-78758",735065.0,,,,,,,,,,
316,"6600-Ed-Bluestein-Blvd,-Austin,-TX-78723",,,,,,,,,,,
317,"515-E-Slaughter-Ln,-Austin,-TX-78744",,,,,,,,,,,
318,"127-E-Riverside-Dr,-Austin,-TX-78704",,,,,,,,,,,
319,"1200-E-Parmer-Ln,-Austin,-TX-78753",,,,,,,,,,,
320,"700-Hearn-St,-Austin,-TX-78703",,,,,,,,,,,
321,"7601-Rialto-Blvd,-Austin,-TX-78735",,,,,,,,,,,
322,"2200-S-Pleasant-Valley-Rd,-Austin,-TX-78741",,,,,,,,,,,
323,"15510-Ranch-Road-620-Rd,-Austin,-TX-78717",,,,,,,,,,,
324,"8701-Bluffstone-Cv,-Austin,-TX-78759",,,,,,,,,,,
325,"14100-Thermal-Dr,-Austin,-TX-78728",,,,,,,,,,,
326,"2900-Sunridge-Dr,-Austin,-TX-78741",,,,,,,,,,,
327,"5605-Springdale-Rd,-Austin,-TX-78723",,,,,,,,,,,
328,"8617-Spicewood-Springs-Rd,-Austin,-TX-78759",,,,,,,,,,,
329,"8519-Cahill-Dr,-Austin,-TX-78729",,,,,,,,,,,
330,"8715-W-Hwy,-71,-Austin,-TX-78735",,,,,,,,,,,
331,"4100-W-Slaughter-Ln,-Austin,-TX-78749",,,,,,,,,,,
332,"9900-Mcneil-Dr,-Austin,-TX-78750",,,,,,,,,,,
333,"7201-S-Congress-Ave,-Austin,-TX-78745",,,,,,,,,,,
334,"1300-Spyglass-Dr,-Austin,-TX-78746",,,,,,,,,,,
335,"8615-Rockwood-Ln,-Austin,-TX-78757",,,,,,,,,,,
336,"11011-Domain-Dr,-Austin,-TX-78758",,,,,,,,,,,
337,"815-W-Slaughter-Ln,-Austin,-TX-78748",,,,,,,,,,,
338,"12118-Walnut-Park-Xing,-Austin,-TX-78753",,,,,,,,,,,
339,"8001-Highway,-71-W,-Austin,-TX-78736",,,,,,,,,,,
340,"10050-Great-Hills-Trl,-Austin,-TX-78759",,,,,,,,,,,
341,"2202-2204-Enfield-Rd,-Austin,-TX-78703",,,,,,,,,,,
342,"1845-River-Crossing-Cir,-Austin,-TX-78741",,,,,,,,,,,
343,"201-Lavaca-St,-Austin,-TX-78701",,,,,,,,,,,
344,"5417-S-Mo-Pac-Expy,-Austin,-TX-78749",,,,,,,,,,,
345,"2900-Manor-Rd,-Austin,-TX-78722",,,,,,,,,,,
346,"7200-Duval-St,-Austin,-TX-78752",,,,,,,,,,,
347,"8405-Old-Bee-Caves-Rd,-Austin,-TX-78735",,,,,,,,,,,
348,"1127-Pearl-Retreat-Ln,-Austin,-TX-78753",,,,,,,,,,,
349,"12101-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,
350,"2310-Wickersham-Ln,-Austin,-TX-78741",,,,,,,,,,,
351,"1717-Toomey-Rd,-Austin,-TX-78704",,,,,,,,,,,
352,"3501-Shoreline-Dr,-Austin,-TX-78728",,,,,,,,,,,
353,"1143-Shady-Ln,-Austin,-TX-78721",,,,,,,,,,,
354,"14000-Renaissance-Ct,-Austin,-TX-78728",,,,,,,,,,,
355,"11301-Farrah-Ln,-Austin,-TX-78748",,,,,,,,,,,
356,"1521-Reagan-Hill-Dr,-Austin,-TX-78752",,,,,,,,,,,
357,"9301-Old-Bee-Caves-Rd,-Austin,-TX-78735",,,,,,,,,,,
358,"12820-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,
359,"13201-Legendary-Dr,-Austin,-TX-78727",,,,,,,,,,,
360,"4716-Duval-Rd,-Austin,-TX-78727",,,,,,,,,,,
361,"2126-Goodrich-Ave,-Austin,-TX-78704",,,,,,,,,,,
362,"5705-Diehl-Trl,-Austin,-TX-78727",,,,,,,,,,,
363,"507-Pressler-St,-Austin,-TX-78703",,,,,,,,,,,
364,"11500-Jollyville-Rd,-Austin,-TX-78759",,,,,,,,,,,
365,"5020-Manor-Rd,-Austin,-TX-78723",,,,,,,,,,,
366,"9009-N-Fm-620-Rd,-Austin,-TX-78726",,,,,,,,,,,
367,"3101-Wells-Branch-Pkwy,-Austin,-TX-78728",,,,,,,,,,,
368,"1401-Saint-Edwards-Dr,-Austin,-TX-78704",,,,,,,,,,,
369,"304-E-William-Cannon-Dr,-Austin,-TX-78745",,,,,,,,,,,
370,"3101-Shoreline-Dr,-Austin,-TX-78728",,,,,,,,,,,
371,"12100-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,
372,"600-Barwood-Park,-Austin,-TX-78753",,,,,,,,,,,
373,"1909-Rio-Grande-St,-Austin,-TX-78705",,,,,,,,,,,
374,"3400-Ranch-Rd,-620-S,-Austin,-TX-78738",,,,,,,,,,,
375,"1630-E-6th-St,-Austin,-TX-78702",,,,,,,,,,,
376,"2810-Hemphill-Park,-Austin,-TX-78705",,,,,,,,,,,
377,"3201-Duval-Rd,-Austin,-TX-78759",,,,,,,,,,,
378,"4310-Ave-B,-Austin,-TX-78751",,,,,,,,,,,
379,"10301-Burnet-Rd,-Austin,-TX-78758",,,,,,,,,,,
380,"5400-N-Lamar-Blvd,-Austin,-TX-78751",,,,,,,,,,,
381,"2425-Cromwell-Cir,-Austin,-TX-78741",,,,,,,,,,,
382,"2430-Cromwell-Cir,-Austin,-TX-78741",,,,,,,,,,,
383,"12435-Dessau-Rd,-Austin,-TX-78754",,,,,,,,,,,
384,"1000-E-5th-St,-Austin,-TX-78702",,,,,,,,,,,
385,"1901-Onion-Creek-Pkwy,-Austin,-TX-78748",,,,,,,,,,,
386,"10015-Lake-Creek-Pkwy,-Austin,-TX-78729",,,,,,,,,,,
387,"12000-Dessau-Rd,-Austin,-TX-78754",,,,,,,,,,,
388,"3505-S-Lamar-Blvd,-Austin,-TX-78704",,,,,,,,,,,
389,"8225-N-Fm-620-Rd,-Austin,-TX-78726",1325322.0,1487032.0,2114737.0,1335833.0,1624327.0,,992049.0,,1281483.0,1609160.0,2120277.0
390,"1915-Wells-Branch-Pkwy,-Austin,-TX-78728",,,,,,,,,,,
391,"12638-Ridgeline-Blvd,-Austin,-TX-78613",,,,,,,,,,,
392,"3600-Greystone-Dr,-Austin,-TX-78731",,,,,,,,,,,
393,"5708-W-Parmer-Ln,-Austin,-TX-78727",,,,,,,,,,,
394,"1215-Slaughter-Ln-W,-Austin,-TX-78748",,,,,,,,,,,
395,"10727-Domain-Dr,-Austin,-TX-78758",,,,,,,,,,,
396,"10505-S-Interstate-Hwy,-35,-Austin,-TX-78747",,,,,,,,,,,
397,"833-Fairfield-Dr,-Austin,-TX-78758",,,,,,,,,,,
398,"4520-Bennett-Ave,-Austin,-TX-78751",,,,,,,,,,,
399,"12041-Dessau-Rd,-Austin,-TX-78754",,,,,,,,,,,
400,"11210-FM-2222,-Austin,-TX-78730",,,,,,,,,,,
401,"4505-Duval-St,-Austin,-TX-78751",,,,,,,,,,,
402,"1801-Fortview-Rd,-Austin,-TX-78704",,,,,,,,,,,
403,"1900-Onion-Creek-Pkwy,-Austin,-TX-78748",,,,,,,,,,,
404,"300-Ferguson-Dr,-Austin,-TX-78753",,,,,,,,,,,
405,"5010-S-Congress-Ave,-Austin,-TX-78745",,,,,,,,,,,
406,"6280-Mcneil-Ranch-Dr,-Austin,-TX-78729",,,,,,,,,,,
407,"2900-Century-Park-Blvd,-Austin,-TX-78727",,,,,,,,,,,
408,"4800-Steiner-Ranch-Blvd,-Austin,-TX-78732",,,,,,,,,,,
409,"1620-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,
410,"15433-FM-1325,-Austin,-TX-78728",,,,,,,,,,,
411,"14745-Merriltown-Rd,-Austin,-TX-78728",,,,,,,,,,,
412,"9520-9521-Spectrum-Dr,-Austin,-TX-78717",,,,,,,,,,,
413,"8800-Highway,-290-W,-Austin,-TX-78736",,,,,,,,,,,
414,"6855-E-Hwy,-290,-Austin,-TX-78723",,,,,,,,,,,
415,"614-S-1st-St,-Austin,-TX-78704",,,,,,,,,,,
416,"12113-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,
417,"13401-Metric-Blvd,-Austin,-TX-78727",,,,,,,,,,,
418,"4821-Riverside-Dr-E,-Austin,-TX-78741",,,,,,,,,,,
419,"2101-W-Anderson-Ln,-Austin,-TX-78757",,,,,,,,,,,
420,"7201-Hart-Ln,-Austin,-TX-78731",,,,,,,,,,,
421,"701-Center-Ridge-Dr,-Austin,-TX-78753",,,,,,,,,,,
422,"5005-Manor-Rd,-Austin,-TX-78723",,,,,,,,,,,
423,"10127-Middle-Fiskville-Rd,-Austin,-TX-78753",,,,,,,,,,,
424,"3503-Speedway,-Austin,-TX-78705",,,,,,,,,,,
425,"1701-Oak-Hill-Ln,-Austin,-TX-78744",,,,,,,,,,,
426,"1088-Park-Plaza-Dr,-Austin,-TX-78753",,,,,,,,,,,
427,"1300-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,
428,"409-E-William-Cannon-Dr,-Austin,-TX-78745",,,,,,,,,,,
429,"1200-1201-Broadmoor-Dr,-Austin,-TX-78723",,,,,,,,,,,
430,"3300-Parker-Ln,-Austin,-TX-78741",,,,,,,,,,,
431,"11600-11634-Argonne-Forest-Trl,-Austin,-TX-78759",,,,,,,,,,,
432,"3100-Kramer-Ln,-Austin,-TX-78758",,,,,,,,,,,
433,"801-Sugaree-Ave,-Austin,-TX-78757",,,,,,,,,,,
434,"4711-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,
435,"1901-E-Anderson-Ln,-Austin,-TX-78752",,,,,,,,,,,
436,"739-William-Cannon-Dr-W,-Austin,-TX-78745",,,,,,,,,,,
437,"4320-Congress-Ave-S,-Austin,-TX-78745",,,,,,,,,,,
438,"10101-W-Parmer-Ln,-Austin,-TX-78717",,,,,,,,,,,
439,"1804-W-Rundberg-Ln,-Austin,-TX-78758",,,,,,,,,,,
440,"7700-N-Capital-Of-Texas-Hwy,-Austin,-TX-78731",,,,,,,,,,,
441,"3801-S-Congress-Ave,-Austin,-TX-78704",,,,,,,,,,,
442,"125-Woodward-St,-Austin,-TX-78704",,,,,,,,,,,
443,"8505-8525-Shoal-Creek-Blvd,-Austin,-TX-78757",,,,,,,,,,,
444,"10001-S-1st-St,-Austin,-TX-78748",,,,,,,,,,,
445,"3200-S-1st-St,-Austin,-TX-78704",,,,,,,,,,,
446,"609-Clayton-Ln,-Austin,-TX-78752",,,,,,,,,,,
447,"13635-Rutledge-Spur,-Austin,-TX-78717",,,,,,,,,,,
448,"744-W-William-Cannon-Dr,-Austin,-TX-78745",,,,,,,,,,,
449,"4021-Steck-Ave,-Austin,-TX-78759",,,,,,,,,,,
450,"8200-8220-Research-Blvd,-Austin,-TX-78758",,,,,,,,,,,
451,"2900-S-1st-St,-Austin,-TX-78704",,,,,,,,,,,
452,"12800-Harrisglenn-Dr,-Austin,-TX-78753",,1135439.0,1595331.0,,1276626.0,,,,,1182447.0,1593513.0
453,"1711-Rutland-Dr,-Austin,-TX-78758",,,,,,,,,,,
454,"4306-N-Quinlan-Park-Rd,-Austin,-TX-78732",,,,,,,,,,,
455,"9500-Alice-Mae-Ln,-Austin,-TX-78748",,,,,,,,,,,
456,"8071-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,
457,"1630-Rutland-Dr,-Austin,-TX-78758",,447634.0,602352.0,349810.0,,,,,,509906.0,
458,"4603-Todds-Farm,-San-Antonio,-TX-78244",,4289.0,6099.0,,4829.0,,,,,,
459,"500-Tomar-Dr,-San-Antonio,-TX-78227",,,,,,,,,,,
460,"3787-Perrin-Central-Blvd,-San-Antonio,-TX-78217",,,,,,,,,,,
461,"17715-Overlook-Loop,-San-Antonio,-TX-78259",,,,,,,,,,,
462,"1540-W-Bitters-Rd,-San-Antonio,-TX-78248",,,,,,,,,,,
463,"4620-Thousand-Oaks-Dr,-San-Antonio,-TX-78233",,,,,,,,,,,
464,"7110-Wurzbach-Rd,-San-Antonio,-TX-78240",,,,,,,,,,,
465,"7750-Culebra-Rd,-San-Antonio,-TX-78251",,,,,,,,,,,
466,"7733-Louis-Pasteur-Dr,-San-Antonio,-TX-78229",,,,,,,,,,,
467,"7314-Oak-Manor-Dr,-San-Antonio,-TX-78229",,,,,,,,,,,
468,"2519-Broadway-St,-San-Antonio,-TX-78215",,,,,,,,,,,
469,"7811-Chambers-Rd,-San-Antonio,-TX-78229",,,,,,,,,,,
470,"12200-W-Interstate-10,-San-Antonio,-TX-78230",,,,,,,,,,,
471,"400-W-Bitters-Rd,-San-Antonio,-TX-78216",,,,,,,,,,,
472,"11146-Vance-Jackson-Rd,-San-Antonio,-TX-78230",,,,,,,,,,,
473,"3629-Medical-Dr,-San-Antonio,-TX-78229",,,,,,,,,,,
474,"12910-Clubhouse-Blvd,-San-Antonio,-TX-78221",,,,,,,,,,,
475,"Alamo-Ranch-Pkwy---1604-And-Loop,-San-Antonio,-TX-78253",,,,,,,,,,,
476,"2906-Woodcliffe-St,-San-Antonio,-TX-78230",,,,,,,,,,,
477,"4515-Gardendale-St,-San-Antonio,-TX-78240",,,,,,,,,,,
478,"6419-N-Vandiver-Rd,-San-Antonio,-TX-78209",,,,,,,,,,,
479,"3231-Loop,-1604---1604W,-San-Antonio,-TX-78257",,,,,,,,,,,
480,"5315-Fredericksburg-Rd,-San-Antonio,-TX-78229",,,,,,,,,,,
481,"3538-Puesta-De-Sol,-San-Antonio,-TX-78261",,,15689.0,,,,,,,,15719.0
482,"6400-Wurzbach-Rd,-San-Antonio,-TX-78240",,,,,,,,,,,
483,"1935-Broken-Oak-St,-San-Antonio,-TX-78232",,,,,,,,,,,
484,"6222-S-New-Braunfels-Ave,-San-Antonio,-TX-78223",,,,,,,,,,,
485,"5650-Grissom-Rd,-San-Antonio,-TX-78238",,,,,,,,,,,
486,"223-Brackenridge-Ave,-San-Antonio,-TX-78209",,,,,,,,,,,
487,"9939-Fredericksburg-Rd,-San-Antonio,-TX-78240",,,,,,,,,,,
488,"6014-Blanco-Rd,-San-Antonio,-TX-78216",,,,,,,,,,,
489,"254-Cloverleaf-Ave,-Apt-4,-San-Antonio,-TX-78209",,,,,,,,,,,
490,"1835-Lockhill-Selma-Rd,-San-Antonio,-TX-78213",,,,,,,,,,,
491,"16333-Vance-Jackson-Rd,-San-Antonio,-TX-78257",,,,,,,,,,,
492,"2551-Cincinnati-Ave,-San-Antonio,-TX-78228",,,4471.0,,,,,,,,
493,"3926-Woodbridge-Way,-San-Antonio,-TX-78257",,7043.0,8958.0,,,,,,,,9046.0
494,"137-E-Norwood-Ct,-Apt-3,-San-Antonio,-TX-78212",,,,,,,,,,,
495,"25138-Summit-Crk,-San-Antonio,-TX-78258",,,7723.0,,6710.0,,,,,,8009.0
496,"8130-Sunshine-Trail-Dr,-San-Antonio,-TX-78244",,,,,,,,,,,
497,"112111-Saratoga-Coach,-San-Antonio,-TX-78254",,,,,,,,,,,
498,"8523-Spicewood-Bnd,-San-Antonio,-TX-78255",,,6779.0,,5378.0,,,,,,
499,"8000-8012-Aeromedical-Rd,-San-Antonio,-TX-78235",,,,,,,,,,,
